step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
111,2,33.0,0.0,32.0,32.0,0.597412109375,86.79541401215829,4303.3583984375,,,,,
112,2,34.0,0.0,32.0,32.0,0.6527099609375,84.73860198864713,4303.3583984375,,,,,
113,2,35.0,0.0,32.0,32.0,0.69683837890625,85.77812102157623,4303.3583984375,,,,,
114,2,36.0,0.0,32.0,32.0,0.69195556640625,85.98262700252235,4303.3583984375,,,,,
115,2,37.0,0.0,32.0,32.0,0.713134765625,83.61613098531961,4303.3583984375,,,,,
116,2,38.0,0.0,32.0,32.0,0.6004638671875,82.4954779818654,4303.3583984375,,,,,
117,2,39.0,0.0,32.0,32.0,0.7257080078125,86.18481701705605,4303.3583984375,,,,,
118,2,40.0,0.0,32.0,32.0,0.60943603515625,84.9082049971912,4303.3583984375,,,,,
119,2,41.0,0.0,32.0,32.0,0.77142333984375,83.54336099000648,4303.3583984375,,,,,
120,2,42.0,0.0,32.0,32.0,0.69879150390625,83.89783400343731,4303.3583984375,,,,,
121,2,43.0,0.0,32.0,32.0,0.690185546875,85.5189319991041,4303.3583984375,,,,,
122,2,44.0,0.0,32.0,32.0,0.63128662109375,84.55825402052142,4303.3583984375,,,,,
123,2,45.0,0.0,32.0,32.0,0.638427734375,85.76061698840931,4303.3583984375,,,,,
124,2,46.0,0.0,32.0,32.0,0.543487548828125,85.19819300272502,4303.3583984375,,,,,
125,2,47.0,0.0,32.0,32.0,0.712890625,85.77185100875795,4303.3583984375,,,,,
126,2,48.0,0.0,32.0,32.0,0.787078857421875,85.32366799772717,4303.3583984375,,,,,
127,2,49.0,0.0,32.0,32.0,0.629364013671875,83.20518699474633,4303.3583984375,,,,,
128,2,50.0,0.0,32.0,32.0,0.560638427734375,84.75856098812073,4303.3583984375,,,,,
129,2,51.0,0.0,32.0,32.0,0.629302978515625,83.52380199357867,4303.3583984375,,,,,
130,2,52.0,0.0,32.0,32.0,0.617950439453125,85.47616898431443,4303.3583984375,,,,,
131,2,53.0,0.0,32.0,32.0,0.650726318359375,84.27388098789379,4303.3583984375,,,,,
132,2,54.0,0.0,32.0,32.0,0.59051513671875,84.35714300139807,4303.3583984375,,,,,
133,2,55.0,0.0,32.0,32.0,0.65594482421875,84.6927159873303,4303.3583984375,,,,,
134,2,56.0,0.0,32.0,32.0,0.574676513671875,85.44135198462754,4303.3583984375,,,,,
135,2,57.0,0.0,32.0,32.0,0.50799560546875,84.87059699837118,4303.3583984375,,,,,
136,2,58.0,0.0,32.0,32.0,0.637298583984375,84.29418900050223,4303.3583984375,,,,,
137,2,59.0,0.0,32.0,32.0,0.783782958984375,87.69760199356824,4303.3583984375,,,,,
138,2,60.0,0.0,32.0,32.0,0.5599365234375,83.67443300085142,4303.3583984375,,,,,
139,2,61.0,0.0,32.0,32.0,0.6483154296875,83.51018602843396,4303.3583984375,,,,,
140,2,62.0,0.0,32.0,32.0,0.6351318359375,83.25521202641539,4303.3583984375,,,,,
141,2,63.0,0.0,32.0,32.0,0.529083251953125,84.92564098560251,4303.3583984375,,,,,
142,2,64.0,0.0,32.0,32.0,0.5621337890625,84.8811749892775,4303.3583984375,,,,,
143,2,65.0,0.0,32.0,32.0,0.578125,83.93814798910171,4303.3583984375,,,,,
144,2,66.0,0.0,32.0,32.0,0.557952880859375,84.6914249996189,4303.3583984375,,,,,
145,2,67.0,0.0,32.0,32.0,0.57147216796875,85.62370701110922,4303.3583984375,,,,,
146,2,68.0,0.0,32.0,32.0,0.6008758544921875,84.84958999906667,4303.3583984375,,,,,
147,2,69.0,0.0,32.0,32.0,0.5920867919921875,84.27575198584236,4303.3583984375,,,,,
148,2,70.0,0.0,32.0,32.0,0.6266632080078125,85.31045098789036,4303.3583984375,,,,,
149,2,71.0,0.0,32.0,32.0,0.4924163818359375,85.44140800950117,4303.3583984375,,,,,
150,2,72.0,0.0,32.0,32.0,0.5395965576171875,85.69863298907876,4303.3583984375,,,,,
151,2,73.0,0.0,32.0,32.0,0.5844573974609375,82.81042100861669,4303.3583984375,,,,,
152,2,74.0,0.0,32.0,32.0,0.533111572265625,83.16243899753317,4303.3583984375,,,,,
153,2,75.0,0.0,32.0,32.0,0.538421630859375,84.63535699411295,4303.3583984375,,,,,
154,2,76.0,0.0,32.0,32.0,0.5333251953125,85.09243500884622,4303.3583984375,,,,,
155,2,77.0,0.0,32.0,32.0,0.6290435791015625,83.93053998588584,4303.3583984375,,,,,
156,2,78.0,0.0,26.0,26.0,0.6800631284713745,73.59787300811149,3852.2724609375,,,,,
156,2,,1.0,32.0,32.0,,73.59787300811149,3852.2724609375,0.6823104693140795,0.6103098260031806,0.7349397590361446,0.5198470197426968,0.0526292897220651
157,3,1.0,0.0,32.0,32.0,0.5846710205078125,73.744708992308,4303.3583984375,,,,,
158,3,2.0,0.0,32.0,32.0,0.4926910400390625,82.94897299492732,4303.3583984375,,,,,
159,3,3.0,0.0,32.0,32.0,0.408447265625,83.87450699228793,4303.3583984375,,,,,
160,3,4.0,0.0,32.0,32.0,0.4572296142578125,85.00553900375962,4303.3583984375,,,,,
161,3,5.0,0.0,32.0,32.0,0.49847412109375,85.00176001689397,4303.3583984375,,,,,
162,3,6.0,0.0,32.0,32.0,0.5520172119140625,84.30995998787694,4303.3583984375,,,,,
163,3,7.0,0.0,32.0,32.0,0.51263427734375,83.72881499235518,4303.3583984375,,,,,
164,3,8.0,0.0,32.0,32.0,0.7509002685546875,83.756079984596,4303.3583984375,,,,,
165,3,9.0,0.0,32.0,32.0,0.5231094360351562,85.22384401294403,4303.3583984375,,,,,
166,3,10.0,0.0,32.0,32.0,1.060699462890625,86.24063601018861,4303.3583984375,,,,,
167,3,11.0,0.0,32.0,32.0,0.4659271240234375,85.38606599904597,4303.3583984375,,,,,
168,3,12.0,0.0,32.0,32.0,0.56561279296875,85.77500001410954,4303.3583984375,,,,,
169,3,13.0,0.0,32.0,32.0,0.724853515625,84.94268098729663,4303.3583984375,,,,,
170,3,14.0,0.0,32.0,32.0,0.4962158203125,82.94179401127622,4303.3583984375,,,,,
171,3,15.0,0.0,32.0,32.0,0.5138397216796875,83.62846102681942,4303.3583984375,,,,,
172,3,16.0,0.0,32.0,32.0,0.6220703125,84.8650170082692,4303.3583984375,,,,,
173,3,17.0,0.0,32.0,32.0,0.5233917236328125,87.62736601056531,4303.3583984375,,,,,
174,3,18.0,0.0,32.0,32.0,0.39215087890625,84.50371399521828,4303.3583984375,,,,,
175,3,19.0,0.0,32.0,32.0,0.4932708740234375,82.95164999435656,4303.3583984375,,,,,
176,3,20.0,0.0,32.0,32.0,0.4311981201171875,80.0422559841536,4303.3583984375,,,,,
177,3,21.0,0.0,32.0,32.0,0.478546142578125,85.78942497842945,4303.3583984375,,,,,
